"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F300","🌀","f0 9f 8c 80","CYCLONE","%F0%9F%8C%80","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%80",1111,1,1100,442344,0,3
"U+1F301","🌁","f0 9f 8c 81","FOGGY","%F0%9F%8C%81","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%81",10000,10,10000,7798446,0,0
"U+1F302","🌂","f0 9f 8c 82","CLOSED UMBRELLA","%F0%9F%8C%82","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%82",333,3,324,5848649,0,1
"U+1F303","🌃","f0 9f 8c 83","NIGHT WITH STARS","%F0%9F%8C%83","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%83",50,1,50,1583030,0,0
"U+1F304","🌄","f0 9f 8c 84","SUNRISE OVER MOUNTAINS","%F0%9F%8C%84","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%84",100,1,100,464731,0,0
"U+1F305","🌅","f0 9f 8c 85","SUNRISE","%F0%9F%8C%85","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%85",50,1,45,1582576,0,3
"U+1F306","🌆","f0 9f 8c 86","CITYSCAPE AT DUSK","%F0%9F%8C%86","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%86",50,1,50,1583031,0,0
"U+1F307","🌇","f0 9f 8c 87","SUNSET OVER BUILDINGS","%F0%9F%8C%87","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%87",100,1,100,464732,0,0
"U+1F308","🌈","f0 9f 8c 88","RAINBOW","%F0%9F%8C%88","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%88",1111,1,802,445611,500000,46
"U+1F309","🌉","f0 9f 8c 89","BRIDGE AT NIGHT","%F0%9F%8C%89","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%89",415,1,415,464730,0,0
"U+1F30A","🌊","f0 9f 8c 8a","WATER WAVE","%F0%9F%8C%8A","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8A",420,1,399,445615,0,5
"U+1F30B","🌋","f0 9f 8c 8b","VOLCANO","%F0%9F%8C%8B","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8B",418,1,417,1006559,0,1
"U+1F30C","🌌","f0 9f 8c 8c","MILKY WAY","%F0%9F%8C%8C","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8C",10000,1,10000,1023951,0,0
"U+1F30D","🌍","f0 9f 8c 8d","EARTH GLOBE EUROPE-AFRICA","%F0%9F%8C%8D","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8D",21000000,100,21000000,971735,0,0
"U+1F30E","🌎","f0 9f 8c 8e","EARTH GLOBE AMERICAS","%F0%9F%8C%8E","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8E",21000000,100,21000000,1043327,0,0
"U+1F30F","🌏","f0 9f 8c 8f","EARTH GLOBE ASIA-AUSTRALIA","%F0%9F%8C%8F","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%8F",21000000,100,21000000,1043328,0,0
"U+1F310","🌐","f0 9f 8c 90","GLOBE WITH MERIDIANS","%F0%9F%8C%90","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%90",21000000,10000,21000000,2453596,0,0
"U+1F311","🌑","f0 9f 8c 91","NEW MOON SYMBOL","%F0%9F%8C%91","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%91",3333,3,3321,2895440,0,1
